"block"	"trial"	"order"	"st"	"stim_space"	"stim_time"	"repro_size"	"repro_speed"	"repro_time"	"t_cue_present"	"t_stim_start"	"t_stim_end"	"t_repro_start"	"t_repro_end"	"t_trial_start"	"t_trial_end"	"id"
0	36	24	0	0	0	3.64533333333334	4.5	4.14556217193604	1053.3410938	1047.8076021	1051.807252	1054.912285	1059.0586159	1047.2829112	1061.5746765	"01"
0	37	17	0	0	1	4.25200000000005	4	4.53198933601379	1071.6416538	1062.1080104	1070.1084673	1072.7602115	1077.2925925	1061.5831069	1079.8080365	"01"
0	38	28	1	0	0	5.5	0	12.2488679885864	1085.8753578	1080.3419242	1084.3417192	1088.9602962	1101.2098193	1079.8165438	1103.7251313	"01"
0	39	10	0	1	0	6.91360000000006	7.5	7.70633363723755	1109.7927435	1104.2592337	1108.2604866	1110.5202902	1118.2271275	1103.7335823	1120.7425119	"01"
1	40	24	0	0	0	3.86933333333335	4.5	4.49038410186768	1144.0937432	1138.5602636	1142.5610756	1144.7206023	1149.2112265	1138.0409883	1151.726857	"01"
1	41	25	0	0	1	4.21066666666668	4.5	5.03204655647278	1161.7942513	1152.2606735	1160.2612061	1162.4963272	1167.5287043	1151.7351789	1170.0442498	"01"
1	42	13	1	0	1	5.5	0	5.84957695007324	1180.1114462	1170.5778158	1178.5784288	1181.0963567	1186.9456574	1170.0527171	1189.4613099	"01"
1	43	6	1	1	0	5.5	0	7.01688814163208	1195.5285604	1189.9950502	1193.9957481	1196.1283674	1203.1461435	1189.4698167	1205.6622012	"01"
1	44	1	0	0	1	4.456	3	3.61788749694824	1215.7291429	1206.1955334	1214.195835	1216.5123893	1220.1300537	1205.6705896	1222.6457097	"01"
1	45	9	0	0	1	4.67542857142863	3.5	4.48237657546997	1232.7129564	1223.1793422	1231.1796399	1233.2643541	1237.7471792	1222.6541417	1240.2624386	"01"
1	46	21	1	0	1	5.5	0	5.86555242538452	1250.3301285	1240.7965399	1248.7963347	1251.8482907	1257.7144424	1240.2709018	1260.2310682	"01"
1	47	37	1	0	1	5.5	0	7.17976379394531	1270.2974102	1260.7638552	1268.7638107	1271.9683838	1279.1484027	1260.2395289	1281.6638658	"01"
1	48	28	1	0	0	5.5	0	5.41981506347656	1287.7312285	1282.1977498	1286.198667	1288.128386	1293.5487932	1281.6721824	1296.0649189	"01"
1	49	14	1	1	0	5.5	0	4.45635104179382	1302.1317197	1296.598197	1300.597833	1302.7924097	1307.2491709	1296.0732826	1309.7645828	"01"
1	50	23	1	1	1	5.5	0	4.16955828666687	1319.8321759	1310.2985773	1318.2983879	1321.2803657	1325.4497274	1309.7730102	1327.9660176	"01"
1	51	32	0	0	0	3.43839999999998	5	4.24301767349243	1334.0325654	1328.4990926	1332.4987939	1334.6405543	1338.8834874	1327.9744673	1341.3999365	"01"
1	52	35	0	1	1	5.79999999999997	9	7.51358509063721	1351.4664597	1341.9328364	1349.9331104	1352.1204822	1359.6340726	1341.4083804	1362.1499301	"01"
1	53	34	0	1	0	5.19199999999999	9	6.56815958023071	1368.217021	1362.6834054	1366.6839237	1370.432511	1377.0012453	1362.1585395	1379.5164951	"01"
1	54	19	0	1	1	6.61600000000014	8	7.81575632095337	1389.5842333	1380.0506089	1388.0503435	1389.936426	1397.7518552	1379.5248353	1400.2677278	"01"
1	55	18	0	1	0	6.70000000000014	8	7.92036080360413	1406.3346888	1400.8012058	1404.8019112	1407.0484657	1414.9689909	1400.276339	1417.4856255	"01"
1	56	17	0	0	1	3.89200000000006	4	4.02564454078674	1427.5519654	1418.0183594	1426.0185274	1428.1605432	1432.1862254	1417.4939129	1434.7019785	"01"
1	57	30	1	1	0	5.5	0	7.52653861045837	1440.769076	1435.2355238	1439.2366548	1441.3765204	1448.9032674	1434.7104394	1451.4188098	"01"
1	58	31	1	1	1	5.5	0	8.21431374549866	1461.4862714	1451.9527031	1459.9537239	1463.0725419	1471.2873186	1451.4271417	1473.8030529	"01"
